word,meaning,part_of_speech,frequency
pain,痛苦；疼痛；使痛苦；作痛,noun,937
apply,涂；应用；申请；适用,verb,938
wide,宽的；广阔的；广阔地；遍及各处地,adjective,940
measure,尺寸；量度器；测量；测度,noun,941
shake,摇动；震动；动摇；使震动,noun,942
fly,苍蝇；两翼昆虫；飞；飞翔,noun,943
interview,面谈；访问；接见；对...进行面谈(试),noun,944
chair,椅子；显要的席位；使入座；使就任要职,noun,946
fish,鱼；鱼肉；钓；钓鱼,noun,947
particular,一项(或条、点)；个别项目；特别的；独有的,noun,948
camera,照相机；摄影机,noun,949
structure,结构；构造；构成；组织,noun,950
politics,政治；政治学,noun,951
bit,少量；马嚼子；给马上嚼子；控制,noun,952
weight,重；重量；加重量于；压迫,noun,954
suddenly,突然；意外,adverb,955
candidate,候选人；投考者,noun,957
production,制造；生产,noun,959
treat,宴请；款待；视为；对待,noun,960
evening,傍晚；晚间,noun,961
trip,旅行；绊倒；使跌倒；使犯错,noun,962
affect,影响；感动；自觉感情,verb,963
inside,内部；内脏；内部的；秘密的,noun,964
conference,会议,noun,965
unit,单位；分队；单位的；单元的,noun,966
style,风格；时尚；称呼；(根据新款式)设计,noun,968
adult,成人；成虫；成年的；成熟的,noun,969
worry,担心；烦恼；使烦恼；使焦虑,noun,970
mention,提到；言及；提及,noun,971
range,排；行；排列；归类于,noun,972
deep,深的；深入地；深渊；深处,adjective,975
edge,边缘；尖锐；使锐利；挤进,noun,977
specific,特效药；特性；特殊的；明确的,noun,979
writer,作家；撰稿者,noun,980
trouble,烦恼；麻烦；困扰；使烦恼,noun,981
throughout,到处；贯穿全部地；遍及；在各处,adverb,983
fear,恐怖；害怕；恐惧；为...担心,noun,985
shoulder,肩；肩膀；肩负；负担,noun,986
institution,机构；惯例,noun,987
middle,中央；中间；中央的；中庸的,noun,988
sea,海；海洋,noun,989
dream,梦；空想；做梦；想象,noun,990
bar,条；棒；禁止；阻挡,noun,991
beautiful,美丽的,adjective,992
property,财产；所有权,noun,993
instead,作为替代；反而,adverb,994
stuff,原料；要素；装填；狼吞虎咽,noun,996
detail,细节；详情；详述；选派,noun,997
somebody,了不起的人；大人物；有人；某人,noun,1000
magazine,杂志；仓库,noun,1001
hotel,旅馆；客栈,noun,1002
soldier,军人；士兵；从军；尽职,noun,1003
reflect,反射；反映；被反射；映出,verb,1004
heavy,重的；巨大的；沉重地；重物,adjective,1005
sexual,性的；性别的,adjective,1006
bag,袋子；袋状物；使膨大；装袋,noun,1008
heat,热；热度；加热；激昂,noun,1009
marriage,婚姻；结婚,noun,1011
tough,恶棍；强硬的；艰苦的,noun,1012
sing,唱；唱歌；歌颂；嗖嗖声,verb,1013
surface,面；表面；表面的；外观的,noun,1015
exist,存在；生存,verb,1016
pattern,模范；典型；模仿；仿造,noun,1017
skin,皮肤；皮；剥皮；在...植皮,noun,1019
agent,代理商；政府代表,noun,1020
owner,拥有者；物主,noun,1021
machine,机器；机械装置；以机器制造,noun,1022
gas,气体；汽油,noun,1023
ahead,领先的；预先的；领先；预先,adjective,1025
generation,一代；一世,noun,1026
commercial,商业的；商用的；商业广告节目,adjective,1027
address,住址；演说；发表(演说或讲话)；对付,noun,1028
cancer,癌；恶性肿瘤,noun,1029
item,项目；条款,noun,1031
reality,实在；事实,noun,1032
coach,四轮大马车；教练；训练；指导,noun,1033
yard,码；庭院,noun,1035
beat,心跳(声)；打；拍打；打败,noun,1036
violence,猛烈；暴力,noun,1037
total,全体的；总的；计算...的总和；共计为,adjective,1038
tend,走向；有某种的倾向；照料；护理,verb,1039
investment,投资,noun,1040
discussion,讨论,noun,1041
finger,手指；指状物；用手指拨弄；伸出,noun,1042
garden,花园；果园；栽培花木；造园,noun,1043
collection,收集；采集,noun,1045
modern,现代人；有思想的人；现代的；时髦的,noun,1046
task,工作；任务；派给...工作；使辛劳,noun,1047
partner,合伙人；股东；与...合伙；组成一对,noun,1048
positive,肯定的；积极的,adjective,1049
civil,市民的；公民的,adjective,1050
kitchen,厨房；全套炊具,noun,1051
consumer,消费者,noun,1052
shot,发射；炮弹；装弹；使成颗粒状,noun,1053
budget,预算；编预算；编入预算；安排,noun,1054
wish,希望；愿望；愿；想要,noun,1055
painting,画；绘画,noun,1056
scientist,科学家,noun,1057
safe,保险箱；冷藏室；安全的；可靠的,noun,1058
agreement,同意；合约,noun,1059
mouth,嘴；口；装腔作势说话；做鬼脸,noun,1060
capital,首都；大写字母；首都的；重要的,noun,1061
victim,受害人；牺牲者,noun,1063
newspaper,报纸,noun,1064
threat,恐吓；恶兆,noun,1066
responsibility,责任；职责,noun,1067
smile,微笑；喜色；觉得好笑；微笑着表示,noun,1068
attorney,代理人；律师,noun,1069
score,得分；抓痕；刻划；划线,noun,1070
account,报告；解释；报帐；导致,noun,1071
interesting,有趣的,adjective,1072
audience,听众；观众,noun,1074
rich,富裕的；富饶的,adjective,1075
dinner,晚餐；正餐,noun,1076
vote,投票；选举；投票选举；投票决定,noun,1078
western,西方人；西部片；向西方的；来自西方的,noun,1079
relate,讲；叙述；有关；符合,verb,1080
travel,旅行；游历；行进；移动,noun,1081
debate,辩论；讨论；争论,noun,1082
citizen,市民；公民,noun,1084
majority,多数；大半,noun,1085
none,一点也不；毫不；没有人；无一物,adverb,1086
front,前面；开头；面对；朝向,noun,1087
born,天生的；bear的过去分词,adjective,1088
admit,承认；接受；开向；容许,verb,1089
senior,年长者；资深者；年长的；高级的,noun,1090
assume,假定；承担；装腔作势；僭越,verb,1091
wind,风；气息；使通风；嗅出,noun,1092
key,钥匙；键；调音；锁上,noun,1093
professional,专业人才；专业的；职业的,noun,1094
mission,任务；代表团；派遣；向...传教,noun,1095
fast,快速的；紧的；很快地；紧紧地,adjective,1096
alone,孤独的；单独的；独自地,adjective,1097
customer,消费者,noun,1098
suffer,遭受；经历；受痛苦；受损害,verb,1099
speech,演讲；说话,noun,1100
successful,成功的；一帆风顺的,adjective,1101
option,选择权；挑选,noun,1102
participant,参加者；参与者；有份的；参加的,noun,1103
southern,南方人；男风；向南方的；来自南方的,noun,1105
eventually,最后；终于,adverb,1106
university,大学,noun,1106
fresh,新鲜的；新奇的；最新地；刚刚,adjective,1107
forest,森林；林区；植树于,noun,1108
video,影像；电视；图像的；电视的,noun,1109
global,通用的；全球的,adjective,1110
senate,参议院；立法机构,noun,1111
reform,改革；改正；改过；革新,noun,1112
access,通路；入口；访问；存取,noun,1113
restaurant,餐馆；饭店,noun,1114
judge,法官；裁判员；审理；鉴定,noun,1115
publish,出版；发行,verb,1116
relation,关系；联系,noun,1118
release,释放；发泄；解除；放松,noun,1120
bird,鸟；羽毛球；打鸟,noun,1122
labor,劳动；努力；苦干；详细分析,noun,1123
credit,信用；信任；归功于；赞颂,noun,1125
critical,批评的；决定性的,adjective,1126
corner,角落；转角；迫至一隅；垄断,noun,1127
concerned,关心的；有关的,adjective,1128
recall,回忆；召回；回想；撤消,noun,1129
version,一种描述；版本,noun,1130
stare,注视；凝视；盯,verb,1131
safety,安全；保险；保护；防护,noun,1132
effective,有效的；有力的；有生力量,adjective,1133
neighborhood,附近；邻近,noun,1134
original,最初的；原始的；原物；原作,adjective,1135
troop,军队；一群；群集；结队,noun,1137
income,收入；收益,noun,1138
directly,径直地；直接地；一...(就...)；一当...就,adverb,1139
hurt,伤害；创伤；(使)伤心；危害,noun,1140
species,种；类,noun,1141
immediately,直接地；立刻,adverb,1142
track,轨迹；足迹；循路而行；追踪,noun,1143
basic,基本原理；要素；基本的；碱性的,noun,1144
strike,罢工；打击；打；撞击,noun,1145
sky,天空；天色；击向空中；挂在高处,noun,1147
freedom,自由；坦率,noun,1148
absolutely,完全地；绝对地,adverb,1149
plane,平面；扁平物；平的；平面的,noun,1150
nobody,小人物；无名小卒；无人；没有人,noun,1151
object,物体；目标；反对；抱反感,noun,1153
nine,九；九个,noun,1154
attitude,态度；看法,noun,1155
refer,提交；归诸于；提到；涉及,verb,1156
client,客户；顾客,noun,1157
concept,观念；概念,noun,1158
powerful,有力的；有权力的,adjective,1159
perfect,完成时；完美的；完好的；使完美,noun,1160
therefore,因此；所以,adverb,1161
conduct,行为；举动；为人；指挥,noun,1162
conversation,会话；说话,noun,1164
touch,触觉；碰；接触；触摸,noun,1166
please,请；使高兴；合...的心意；使人满意,adverb,1167
attend,参加；照料；专心于；照顾,verb,1168
completely,完全地；十分地,adverb,1169
variety,多样；种类,noun,1171
sleep,睡眠；静止；睡觉；睡,noun,1172
involved,难懂的；复杂的,adjective,1174
investigation,调查；审查,noun,1175
nuclear,核子的；原子能的,adjective,1176
researcher,研究人员,noun,1177
press,压；揿；压榨；紧抱,noun,1178
conflict,战斗；冲突；争执；抵触,noun,1179
spirit,精神；心灵；诱拐；鼓励,noun,1180
replace,代替；替换,verb,1182
british,英国的；英国人；英国英语,adjective,1183
argument,争论；论证,noun,1185
camp,露营；帐篷；扎营；使扎营,noun,1188
brain,脑；打碎脑部,noun,1189
afternoon,午后；下午,noun,1191
weekend,周末；周末休假,noun,1193
dozen,打；十二个；一打的,noun,1194
possibility,可能性；可能的事,noun,1195
insurance,保险；保险业,noun,1197
department,部门；系,noun,1198
battle,战役；战斗,noun,1199
beginning,开始,noun,1200
date,日期；约会；定日期；注明日期,noun,1201
generally,通常；逐渐地,adverb,1202
african,非洲人；非洲的；非洲人的,noun,1203
sorry,难过的；悲哀的,adjective,1205
crisis,危机；危险期,noun,1206
fan,风扇；迷；煽动；刺激,noun,1208
stick,棍；棒；插进；刺入,noun,1209
define,定义；规定,verb,1210
easily,容易地；轻易地,adverb,1211
hole,孔；洞；挖洞；掘坑,noun,1213
element,元件；元素,noun,1214
status,状态；情形,noun,1215
vision,视觉；眼光；梦见；想象,noun,1216
normal,常态；标准；正常的；正规的,noun,1217
chinese,中文；中国话；中国的；中国话的,noun,1218
ship,船；舰；以船运送；装船,noun,1219
stone,石头；宝石；投扔石子；铺石头,noun,1220
slowly,慢慢地；迟缓地,adverb,1222
scale,刻度；衡量；依比例决定；攀登,noun,1223
introduce,介绍；引入,verb,1225
driver,驾驶员；驱动器,noun,1226
spot,污点；地点；当场的；现场的,noun,1228
lack,缺乏；无；短少；不足,noun,1229
ice,冰；冰淇淋；使结冰；冰镇,noun,1230
boat,船；乘船；以船运,noun,1231
christmas,圣诞节,noun,1232
drink,饮料；酒；喝；喝酒,noun,1232
sun,太阳；日；晒；晒太阳,noun,1233
distance,距离；远方,noun,1235
wood,木材；木制品；植林于；给...添加木柴,noun,1236
truck,卡车；货车；对...进行交易；交往,noun,1237
handle,柄；把手；触摸；运用,noun,1238
mountain,山；山脉,noun,1240
survey,纵览；视察；审视；俯瞰,noun,1241
supposed,想象上的；假定的,adjective,1242
tradition,传说；传统,noun,1243
winter,冬季；萧条期；冬天的；使度过冬天,noun,1244
village,村庄；乡村的；村庄的,noun,1245
soviet,代表会议；苏维埃；苏维埃的；苏联的,noun,1246
refuse,拒绝；谢绝；废物；扔掉的,verb,1247
sales,销售的,adjective,1248
roll,卷；滚动；滚；飘流,noun,1249
communication,交流；交通,noun,1250
screen,幕；银幕；掩蔽；放映,noun,1252
gain,增益；获得；得到；增进,noun,1253
resident,居民；常驻程序；居留的；定居的,noun,1254
hide,兽皮；迹象；藏；隐瞒,noun,1255
gold,黄金；钱财；金的；似金的,noun,1256
club,俱乐部；木棍；用棍棒打；缴纳,noun,1257
farm,农场；农田；耕种；种田,noun,1258
potential,潜在性；可能性；有潜力的；可能的,noun,1260
european,欧洲人；欧洲的；欧洲人的,noun,1263
presence,出席；面前,noun,1264
district,区域；地方,noun,1266
shape,形状；形态；定形；使成形,noun,1267
reader,读者；读物,noun,1268
contract,合约；婚约；使皱缩；使缩短,noun,1269
crowd,群众；一伙人；拥挤；挤满,noun,1270
christian,基督徒；正派人；基督的；基督教的,noun,1271
express,快车；快递；明确的；丝毫不差的,noun,1272
apartment,房间；公寓,noun,1273
willing,乐意的；自愿的,adjective,1274
strength,力量；实力,noun,1275
previous,早先的；前面的,adjective,1276
band,带子；队；联合；结合,noun,1277
obviously,显而易见地；明显地,adverb,1278
horse,马；骑兵；骑马；取笑,noun,1279
